Duration        Label
3.674           MAIN
0.024           get from Index
0.024           stmt
0.022           Get Loop
0.022           get from Index
0.022           stmt
0.024           Get Loop
0.021           get from Index
0.021           stmt
0.008           Get Loop
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.005           stmt
0.005           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.005           stmt
0.005           stmt
0.005           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.005           stmt
0.005           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.005           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.005           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.005           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.004           stmt
0.004           stmt
0.005           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.003           stmt
0.004           stmt
0.003           stmt
